Flight Number,Origin of Flight,Origin Time,Arrival Time,Airlines
AI - 9816,Pantnagar,14:10,15:10,Air India
AI - 677,Mumbai,13:00,15:15,Air India
UK* - 644,Srinagar,13:45,15:20,Vistara
UK* - 788,Bhubaneswar,12:55,15:25,Vistara
G8 - 2512,Patna,13:50,15:25,GoAir
I5* - 784,Guwahati,12:50,15:30,AirAsia India
AI - 418,Ranchi,13:25,15:30,Air India
6E - 2065,Surat Gujarat,13:40,15:30,IndiGo
6E - 6616,Kolkata,13:05,15:35,IndiGo
I5* - 713,Srinagar,14:00,15:35,AirAsia India
EY - 210,Abu Dhabi,09:55,15:35,Etihad Airways
6E - 2315,Udaipur,14:10,15:35,IndiGo
6E - 2246,Bengaluru,13:00,15:50,IndiGo
6E - 616,Ahmedabad,14:20,15:55,IndiGo
6E - 176,Mumbai,13:40,15:55,IndiGo
HY - 423,Amritsar,15:10,15:55,Uzbekistan Airways
SG - 8732,Adampur,14:45,16:00,SpiceJet
6E - 6052,Thiruvananthapuram,12:40,16:05,IndiGo
AI - 501,Bengaluru,13:20,16:10,Air India
AI - 102,New York,15:30,16:15,Air India
SG - 106,Chennai,13:20,16:15,SpiceJet
G8 - 196,Jammu,14:50,16:15,GoAir
AI - 880,Bagdogra,13:50,16:15,Air India
6E - 191,Patna,14:30,16:20,IndiGo
CD - 838,Ludhiana,15:05,16:20,Alliance Air
AI - 476,Jodhpur,14:55,16:20,Air India
AI - 76,Bhubaneswar,13:50,16:20,Air India
UL - 3622,Bhubaneswar,13:50,16:20,SriLankan Airlines
6E - 32,Kathmandu,14:45,16:20,IndiGo
6E - 6906,Guwahati,13:45,16:25,IndiGo
G8 - 229,Patna,14:40,16:25,GoAir
6E - 436,Ranchi,14:25,16:25,IndiGo
6E - 306,Lucknow,15:10,16:30,IndiGo
AI - 472,Udaipur,15:10,16:30,Air India
K4 - 253,Leipzig/Halle,04:15,16:30,Kalitta Air
UK* - 726,Bagdogra,14:10,16:30,Vistara
UK* - 707,Amritsar,15:20,16:35,Vistara
6E - 2694,Srinagar,15:05,16:35,IndiGo
6E - 2021,Kolkata,14:20,16:35,IndiGo
BA - 5828,Amritsar,15:20,16:35,British Airways
AI - 843,Goa,14:10,16:35,Air India
ET - 1775,Goa,14:10,16:35,Ethiopian Airlines
SQ - 4727,Amritsar,15:20,16:35,Singapore Airlines
SQ - 4789,Lucknow,15:25,16:40,Singapore Airlines
UK* - 997,Lucknow,15:25,16:40,Vistara
6E - 6448,Mumbai,14:30,16:45,IndiGo
6E - 2204,Raipur,14:50,16:45,IndiGo
